Nodal History,Temperature
Time,A9002,
    0.0000000000e+00,    2.9314999390e+02,
    5.0000000000e-01,    4.8314999390e+02,
    9.9999994040e-01,    6.7314996338e+02,
    1.5000000000e+00,    6.7288641357e+02,
    2.0000000000e+00,    6.7258868408e+02,
    2.5000000000e+00,    6.7232934570e+02,
    3.0000000000e+00,    6.7241076660e+02,
    3.5000000000e+00,    6.7314788818e+02,
    4.0000000000e+00,    6.7473162842e+02,
    4.5000000000e+00,    6.7727691650e+02,
    4.9999995232e+00,    6.8086663818e+02,
    5.4999995232e+00,    6.8557818604e+02,
    5.9999995232e+00,    6.9149969482e+02,
    6.4999995232e+00,    6.9861828613e+02,
    6.9999995232e+00,    7.0651843262e+02,
    7.4999995232e+00,    7.1488275146e+02,
    7.9999995232e+00,    7.2356506348e+02,
    8.4999990463e+00,    7.3251208496e+02,
    8.9999990463e+00,    7.4171179199e+02,
    9.4999990463e+00,    7.5116778564e+02,
    9.9999990463e+00,    7.6093432617e+02,
    1.0499999046e+01,    7.7104461670e+02,
    1.0999999046e+01,    7.8155938721e+02,
    1.1499999046e+01,    7.9263665771e+02,
    1.1999999046e+01,    8.0437457275e+02,
    1.2499999046e+01,    8.1690130615e+02,
    1.2999999046e+01,    8.3095965576e+02,
    1.3499999046e+01,    8.4561785889e+02,
    1.3999999046e+01,    8.6226867676e+02,
    1.4499999046e+01,    8.8131658936e+02,
    1.4999999046e+01,    8.9966040039e+02,
    1.5499999046e+01,    9.1824938965e+02,
    1.5999999046e+01,    9.3066864014e+02,
    1.6499998093e+01,    9.3653741455e+02,
    1.6999998093e+01,    9.3396752930e+02,
    1.7499998093e+01,    9.2872564697e+02,
    1.7999998093e+01,    9.2621313477e+02,
    1.8499998093e+01,    9.2326763916e+02,
    1.9000000000e+01,    9.2311932373e+02,
    1.9500000000e+01,    9.2349877930e+02,
    2.0000000000e+01,    9.2529058838e+02,
    2.0500000000e+01,    9.2760650635e+02,
    2.1000000000e+01,    9.3072375488e+02,
    2.1500000000e+01,    9.3418878174e+02,
    2.2000000000e+01,    9.3810803223e+02,
    2.2500000000e+01,    9.4229003906e+02,
    2.3000000000e+01,    9.4670904541e+02,
    2.3500000000e+01,    9.5127087402e+02,
    2.4000000000e+01,    9.5597955322e+02,
    2.4500000000e+01,    9.6083551025e+02,
    2.5000000000e+01,    9.6581347656e+02,
    2.5500000000e+01,    9.7090234375e+02,
    2.6000000000e+01,    9.7608978271e+02,
    2.6500000000e+01,    9.8136596680e+02,
    2.7000000000e+01,    9.8673101807e+02,
    2.7500000000e+01,    9.9216308594e+02,
    2.8000000000e+01,    9.9765216064e+02,
    2.8449998856e+01,    1.0024238892e+03,
    2.8949998856e+01,    1.0066312256e+03,
    2.9449998856e+01,    1.0089944458e+03,
    2.9949998856e+01,    1.0100102539e+03,
    3.0449998856e+01,    1.0102741089e+03,
    3.0949998856e+01,    1.0101387329e+03,
    3.1449998856e+01,    1.0097947388e+03,
    3.1949998856e+01,    1.0093416748e+03,
    3.2449996948e+01,    1.0088311768e+03,
    3.2949996948e+01,    1.0082901611e+03,
    3.3449996948e+01,    1.0077327271e+03,
    3.3949996948e+01,    1.0071663208e+03,
    3.4449996948e+01,    1.0065950317e+03,
    3.4949996948e+01,    1.0060209961e+03,
    3.5449996948e+01,    1.0054455566e+03,
    3.5949996948e+01,    1.0048693237e+03,
    3.6449996948e+01,    1.0042927246e+03,
    3.6949996948e+01,    1.0037161255e+03,
    3.7449996948e+01,    1.0031395264e+03,
    3.7949996948e+01,    1.0025631714e+03,
    3.8449996948e+01,    1.0019870605e+03,
    3.8949996948e+01,    1.0014111938e+03,
    3.9449996948e+01,    1.0008356934e+03,
    3.9949996948e+01,    1.0002605591e+03,
    4.0449996948e+01,    9.9968579102e+02,
    4.0949996948e+01,    9.9911132812e+02,
    4.1449996948e+01,    9.9853729248e+02,
    4.1949996948e+01,    9.9796362305e+02,
    4.2449996948e+01,    9.9739038086e+02,
    4.2949996948e+01,    9.9681744385e+02,
    4.3449996948e+01,    9.9624499512e+02,
    4.3949996948e+01,    9.9567285156e+02,
    4.4449996948e+01,    9.9510113525e+02,
    4.4949996948e+01,    9.9452984619e+02,
    4.5449996948e+01,    9.9395886230e+02,
    4.5949996948e+01,    9.9338836670e+02,
    4.6449996948e+01,    9.9281817627e+02,
    4.6949996948e+01,    9.9224841309e+02,
    4.7449996948e+01,    9.9167907715e+02,
    4.7949996948e+01,    9.9111010742e+02,
    4.8449996948e+01,    9.9054150391e+02,
    4.8949996948e+01,    9.8997332764e+02,
    4.9449996948e+01,    9.8940551758e+02,
    5.0000000000e+01,    9.8878137207e+02,
