2.931500e+02,1.522989e-05
3.461421e+02,1.566606e-05
3.991342e+02,1.610224e-05
4.521263e+02,1.653841e-05
5.051184e+02,1.697458e-05
5.581105e+02,1.741076e-05
6.111026e+02,1.784693e-05
6.640947e+02,1.828310e-05
7.170868e+02,1.871928e-05
7.700789e+02,1.915545e-05
8.230711e+02,1.959162e-05
8.760632e+02,2.002780e-05
9.290553e+02,2.046397e-05
9.820474e+02,2.090014e-05
1.035039e+03,2.133632e-05
1.088032e+03,2.177249e-05
1.141024e+03,2.220866e-05
1.194016e+03,2.264484e-05
1.247008e+03,2.308101e-05
1.300000e+03,2.351718e-05
2.000000e+03,2.351718e-05
