        24
    0.0000000000e+00    5.5017370605e+02
    5.0034189224e-01    3.9221484375e+02
    1.0006840229e+00    5.6590380859e+02
    1.5010222197e+00    6.3555218506e+02
    2.0013620853e+00    6.4305657959e+02
    2.5017001629e+00    6.7916662598e+02
    3.0020301342e+00    6.4390563965e+02
    3.5023295879e+00    4.4192285156e+02
    4.0025782585e+00    3.7967800903e+02
    4.5027909279e+00    4.2556964111e+02
    5.0029916763e+00    5.4380035400e+02
    5.5031900406e+00    3.7812252808e+02
    6.0033936501e+00    3.8987753296e+02
    6.5036005974e+00    2.3770803833e+02
    7.0038018227e+00    4.1531860352e+01
    7.5039863586e+00   -2.2097178650e+02
    8.0041427612e+00   -4.1038568115e+02
    8.5042648315e+00   -4.3202911377e+02
    9.0043544769e+00   -6.2479626465e+02
    9.5044174194e+00   -6.5684594727e+02
    1.0004462242e+01   -8.8195855713e+02
    1.0504494667e+01   -9.1162133789e+02
    1.1004520416e+01   -9.7411468506e+02
    1.1504542351e+01   -1.1026405029e+03
