Nodal History,Temperature
Time,A9002,
    5.2515438080e+01,    1.0125872192e+03,
    5.2807044983e+01,    1.0122073364e+03,
    5.3179962158e+01,    1.0114512939e+03,
    5.3402301788e+01,    1.0108360596e+03,
    5.3756340027e+01,    1.0102011719e+03,
    5.4069755554e+01,    1.0099653320e+03,
    5.4352424622e+01,    1.0101148071e+03,
    5.4678176880e+01,    1.0106718140e+03,
    5.4950267792e+01,    1.0113800049e+03,
    5.5200145721e+01,    1.0121454468e+03,
    5.5546649933e+01,    1.0136353760e+03,
    5.5833724976e+01,    1.0149041748e+03,
    5.6141628265e+01,    1.0165117798e+03,
    5.6455223083e+01,    1.0183078003e+03,
    5.6704570770e+01,    1.0198226318e+03,
    5.7091659546e+01,    1.0223560181e+03,
    5.7341880798e+01,    1.0240678711e+03,
    5.7601184845e+01,    1.0259257812e+03,
    5.7948074341e+01,    1.0285169678e+03,
    5.8204277039e+01,    1.0304926758e+03,
    5.8577743530e+01,    1.0334715576e+03,
    5.8848274231e+01,    1.0356798096e+03,
    5.9100349426e+01,    1.0377899170e+03,
    5.9443931580e+01,    1.0407280273e+03,
    5.9708858490e+01,    1.0430213623e+03,
    6.0040344238e+01,    1.0459381104e+03,
    6.0306968689e+01,    1.0482363281e+03,
    6.0726528168e+01,    1.0511922607e+03,
    6.1051197052e+01,    1.0527711182e+03,
    6.1366699219e+01,    1.0535328369e+03,
    6.1866733551e+01,    1.0538847656e+03,
    6.2659233093e+01,    1.0544425049e+03,
    6.3915260315e+01,    1.0534299316e+03,
    6.5905929565e+01,    1.0512764893e+03,
    6.9060928345e+01,    1.0476336670e+03,
    7.4061271667e+01,    1.0418602295e+03,
    8.1986274719e+01,    1.0326129150e+03,
    9.1986274719e+01,    1.0210229492e+03,
    1.0198627472e+02,    5.6983581543e+02,
    1.0698627472e+02,    4.3114013672e+02,
    1.1371971893e+02,    3.5042678833e+02,
    1.2371971893e+02,    3.1160275269e+02,
    1.3371971130e+02,    2.9909307861e+02,
    1.4371971130e+02,    2.9506402588e+02,
    1.5371971130e+02,    2.9376641846e+02,
    1.6371971130e+02,    2.9334851074e+02,
    1.7371971130e+02,    2.9321392822e+02,
    1.8371971130e+02,    2.9317056274e+02,
    1.9371971130e+02,    2.9315661621e+02,
    2.0371971130e+02,    2.9315213013e+02,
    2.1371971130e+02,    2.9315066528e+02,
    2.2371971130e+02,    2.9315020752e+02,
    2.3371971130e+02,    2.9315005493e+02,
    2.3963235474e+02,    2.9315002441e+02,
    2.4524935913e+02,    2.9314999390e+02,
    2.5000000000e+02,    2.9314999390e+02,
