Nodal History,Temperature
Time,A9002,
    5.3128990173e+01,    1.2228453369e+03,
    5.3435573578e+01,    1.2240329590e+03,
    5.3771965027e+01,    1.2247448730e+03,
    5.4043033600e+01,    1.2251151123e+03,
    5.4393886566e+01,    1.2251247559e+03,
    5.4682647705e+01,    1.2247679443e+03,
    5.4966796875e+01,    1.2246557617e+03,
    5.5211654663e+01,    1.2249282227e+03,
    5.5578323364e+01,    1.2252574463e+03,
    5.5851070404e+01,    1.2255981445e+03,
    5.6164810181e+01,    1.2264940186e+03,
    5.6425231934e+01,    1.2271413574e+03,
    5.6707004547e+01,    1.2278366699e+03,
    5.7075431824e+01,    1.2291291504e+03,
    5.7343368530e+01,    1.2301169434e+03,
    5.7622550964e+01,    1.2313208008e+03,
    5.8001266479e+01,    1.2329814453e+03,
    5.8230804443e+01,    1.2340657959e+03,
    5.8557758331e+01,    1.2356182861e+03,
    5.8806716919e+01,    1.2369180908e+03,
    5.9189460754e+01,    1.2388599854e+03,
    5.9480564117e+01,    1.2403394775e+03,
    5.9728622437e+01,    1.2416492920e+03,
    6.0045135498e+01,    1.2433369141e+03,
    6.0462314606e+01,    1.2451114502e+03,
    6.0867710114e+01,    1.2461882324e+03,
    6.1510215759e+01,    1.2478947754e+03,
    6.2528522491e+01,    1.2488791504e+03,
    6.4142433167e+01,    1.2487036133e+03,
    6.6700302124e+01,    1.2484252930e+03,
    7.0754257202e+01,    1.2449389648e+03,
    7.7179336548e+01,    1.2383872070e+03,
    8.7179336548e+01,    1.2273817139e+03,
    9.7179336548e+01,    7.8281011963e+02,
    1.0217933655e+02,    5.6052435303e+02,
    1.0717933655e+02,    4.1842590332e+02,
    1.1280175781e+02,    3.4632458496e+02,
    1.2171269226e+02,    3.1273129272e+02,
    1.3171269226e+02,    2.9984045410e+02,
    1.4171269226e+02,    2.9543588257e+02,
    1.5171269226e+02,    2.9393099976e+02,
    1.6171269226e+02,    2.9341683960e+02,
    1.7171269226e+02,    2.9324114990e+02,
    1.8171269226e+02,    2.9318112183e+02,
    1.9171269226e+02,    2.9316061401e+02,
    2.0171269226e+02,    2.9315362549e+02,
    2.1171269226e+02,    2.9315121460e+02,
    2.2171269226e+02,    2.9315042114e+02,
    2.3171269226e+02,    2.9315011597e+02,
    2.3842935181e+02,    2.9315005493e+02,
    2.4481019592e+02,    2.9315002441e+02,
    2.5000000000e+02,    2.9314999390e+02,
