Nodal History,Temperature
Time,A9002,
    1.3809999084e+02,    3.2028619385e+02,
    1.3909999084e+02,    3.1932867432e+02,
    1.4009999084e+02,    3.1840496826e+02,
    1.4109999084e+02,    3.1751385498e+02,
    1.4209999084e+02,    3.1665420532e+02,
    1.4309999084e+02,    3.1582489014e+02,
    1.4409999084e+02,    3.1502487183e+02,
    1.4509999084e+02,    3.1425305176e+02,
    1.4609999084e+02,    3.1350848389e+02,
    1.4709999084e+02,    3.1279022217e+02,
    1.4809999084e+02,    3.1209729004e+02,
    1.4909999084e+02,    3.1142880249e+02,
    1.5009999084e+02,    3.1078390503e+02,
    1.5109999084e+02,    3.1016177368e+02,
    1.5209999084e+02,    3.0956161499e+02,
    1.5309999084e+02,    3.0898260498e+02,
    1.5409999084e+02,    3.0842404175e+02,
    1.5509999084e+02,    3.0788519287e+02,
    1.5609999084e+02,    3.0736532593e+02,
    1.5709999084e+02,    3.0686383057e+02,
    1.5809999084e+02,    3.0638003540e+02,
    1.5909999084e+02,    3.0591329956e+02,
    1.6009999084e+02,    3.0546304321e+02,
    1.6109999084e+02,    3.0502865601e+02,
    1.6209999084e+02,    3.0460961914e+02,
    1.6309999084e+02,    3.0420535278e+02,
    1.6409999084e+02,    3.0381533813e+02,
    1.6509999084e+02,    3.0343911743e+02,
    1.6609999084e+02,    3.0307614136e+02,
    1.6709999084e+02,    3.0272598267e+02,
    1.6809999084e+02,    3.0238818359e+02,
    1.6909999084e+02,    3.0206228638e+02,
    1.7009999084e+02,    3.0174789429e+02,
    1.7109999084e+02,    3.0144461060e+02,
    1.7209999084e+02,    3.0115200806e+02,
    1.7309999084e+02,    3.0086972046e+02,
    1.7409999084e+02,    3.0059741211e+02,
    1.7509999084e+02,    3.0033471680e+02,
    1.7609999084e+02,    3.0008126831e+02,
    1.7709999084e+02,    2.9983676147e+02,
    1.7809999084e+02,    2.9960089111e+02,
    1.7909999084e+02,    2.9937332153e+02,
    1.8009999084e+02,    2.9915377808e+02,
    1.8109999084e+02,    2.9894198608e+02,
    1.8209999084e+02,    2.9873764038e+02,
    1.8309999084e+02,    2.9854052734e+02,
    1.8409999084e+02,    2.9835034180e+02,
    1.8509999084e+02,    2.9816687012e+02,
    1.8609999084e+02,    2.9798986816e+02,
    1.8709999084e+02,    2.9781912231e+02,
    1.8809999084e+02,    2.9765438843e+02,
    1.8909999084e+02,    2.9749545288e+02,
    1.9009999084e+02,    2.9734213257e+02,
    1.9109999084e+02,    2.9719421387e+02,
    1.9209999084e+02,    2.9705151367e+02,
    1.9309999084e+02,    2.9691384888e+02,
    1.9409999084e+02,    2.9678103638e+02,
    1.9509999084e+02,    2.9665292358e+02,
    1.9609999084e+02,    2.9652932739e+02,
    1.9709999084e+02,    2.9641006470e+02,
    1.9809999084e+02,    2.9629504395e+02,
    1.9909999084e+02,    2.9618405151e+02,
    2.0009999084e+02,    2.9607699585e+02,
    2.0109999084e+02,    2.9597372437e+02,
    2.0209999084e+02,    2.9587405396e+02,
    2.0309999084e+02,    2.9577795410e+02,
    2.0409999084e+02,    2.9568521118e+02,
    2.0509999084e+02,    2.9559573364e+02,
    2.0609999084e+02,    2.9550942993e+02,
    2.0709999084e+02,    2.9542617798e+02,
    2.0809999084e+02,    2.9534585571e+02,
    2.0909999084e+02,    2.9526834106e+02,
    2.1009999084e+02,    2.9519360352e+02,
    2.1109999084e+02,    2.9512145996e+02,
    2.1209999084e+02,    2.9505191040e+02,
    2.1309999084e+02,    2.9498477173e+02,
    2.1409999084e+02,    2.9492004395e+02,
    2.1509999084e+02,    2.9485757446e+02,
    2.1609999084e+02,    2.9479730225e+02,
    2.1709999084e+02,    2.9473916626e+02,
    2.1809999084e+02,    2.9468307495e+02,
    2.1909999084e+02,    2.9462896729e+02,
    2.2009999084e+02,    2.9457678223e+02,
    2.2109999084e+02,    2.9452642822e+02,
    2.2209999084e+02,    2.9447784424e+02,
    2.2309999084e+02,    2.9443096924e+02,
    2.2409999084e+02,    2.9438577271e+02,
    2.2509999084e+02,    2.9434216309e+02,
    2.2609999084e+02,    2.9430007935e+02,
    2.2709999084e+02,    2.9425949097e+02,
    2.2809999084e+02,    2.9422033691e+02,
    2.2909999084e+02,    2.9418255615e+02,
    2.3009999084e+02,    2.9414611816e+02,
    2.3109999084e+02,    2.9411096191e+02,
    2.3209999084e+02,    2.9407702637e+02,
    2.3309999084e+02,    2.9404431152e+02,
    2.3409999084e+02,    2.9401275635e+02,
    2.3509999084e+02,    2.9398229980e+02,
    2.3609999084e+02,    2.9395294189e+02,
    2.3709999084e+02,    2.9392459106e+02,
    2.3809999084e+02,    2.9389724731e+02,
    2.3909999084e+02,    2.9387088013e+02,
    2.4009999084e+02,    2.9384542847e+02,
    2.4109999084e+02,    2.9382089233e+02,
    2.4209999084e+02,    2.9379721069e+02,
    2.4309999084e+02,    2.9377435303e+02,
    2.4409999084e+02,    2.9375231934e+02,
    2.4509999084e+02,    2.9373107910e+02,
    2.4609999084e+02,    2.9371057129e+02,
    2.4709999084e+02,    2.9369076538e+02,
    2.4809999084e+02,    2.9367169189e+02,
    2.4909999084e+02,    2.9365325928e+02,
